ano;Total;0-04;05-09;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85 ou mais
2000;5324594 ;266033 ;269744 ;283567 ;341954 ;392663 ;398391 ;379667 ;387538 ;364629 ;347728 ;328717 ;294613 ;297088 ;289996 ;253068 ;200723 ;123008 ;105472 
2001;5359806 ;267860 ;266654 ;281218 ;331247 ;385964 ;405878 ;381990 ;391354 ;371905 ;351769 ;333884 ;303192 ;292000 ;293670 ;256616 ;206042 ;127113 ;111454 
2002;5391274 ;271091 ;265040 ;280241 ;317665 ;376870 ;412647 ;388002 ;393044 ;379240 ;354705 ;341450 ;310416 ;287868 ;294616 ;261373 ;211352 ;133046 ;112613 
2003;5416487 ;272984 ;264125 ;279912 ;305411 ;367582 ;414589 ;394701 ;393262 ;385089 ;359515 ;345396 ;318680 ;286883 ;293544 ;266681 ;215741 ;140362 ;112034 
2004;5433336 ;272195 ;265226 ;278116 ;295052 ;357537 ;409983 ;402235 ;391546 ;391136 ;364888 ;346730 ;325915 ;288426 ;293085 ;270928 ;219338 ;149106 ;111898 
2005;5447063 ;268806 ;268902 ;275029 ;287971 ;344623 ;401621 ;410400 ;390248 ;396124 ;369735 ;350486 ;329475 ;293980 ;290943 ;274759 ;223142 ;155652 ;115170 
2006;5460684 ;265141 ;271640 ;271717 ;285089 ;329984 ;390496 ;417213 ;392099 ;398348 ;376113 ;353721 ;333953 ;301802 ;285933 ;278124 ;227644 ;160965 ;120707 
2007;5475893 ;261152 ;272419 ;269303 ;284304 ;316503 ;377689 ;421392 ;396794 ;399277 ;383037 ;356451 ;341336 ;308716 ;281986 ;279624 ;233313 ;166711 ;125889 
2008;5490184 ;256921 ;272200 ;267984 ;284002 ;305159 ;365791 ;420883 ;402935 ;399128 ;388758 ;361271 ;345365 ;317108 ;281265 ;279233 ;239410 ;171908 ;130866 
2009;5503255 ;253010 ;269799 ;269233 ;282481 ;296506 ;354860 ;414545 ;410634 ;397700 ;395162 ;366970 ;347160 ;324754 ;283335 ;279571 ;244632 ;176260 ;136648 
2010;5514456 ;247713 ;263173 ;273201 ;279513 ;291190 ;341963 ;404512 ;418937 ;396859 ;400630 ;372244 ;351420 ;328808 ;289437 ;278293 ;249357 ;180667 ;146545 
2011;5515570 ;242117 ;256841 ;274405 ;275595 ;288926 ;327805 ;391209 ;424641 ;398181 ;402341 ;378238 ;354360 ;333147 ;297262 ;273848 ;253242 ;185884 ;157531 
2012;5501777 ;237459 ;252901 ;272073 ;271664 ;286005 ;313381 ;375624 ;426262 ;401325 ;401591 ;383876 ;356041 ;339449 ;303464 ;269969 ;254982 ;191500 ;164216 
2013;5480437 ;230993 ;249103 ;269494 ;268765 ;281633 ;299716 ;361358 ;422733 ;405586 ;399485 ;388047 ;359587 ;342144 ;310737 ;268954 ;254689 ;197485 ;169931 
2014;5460219 ;223175 ;245747 ;265731 ;268980 ;276704 ;288883 ;349189 ;413647 ;411169 ;396184 ;392721 ;363873 ;342621 ;317159 ;270533 ;254914 ;202947 ;176046 
2015;5445489 ;216049 ;243184 ;260553 ;272309 ;271912 ;281349 ;335951 ;401923 ;417626 ;393898 ;396665 ;367998 ;345739 ;320300 ;275967 ;253795 ;207447 ;182827 
2016;5433469 ;210535 ;241029 ;256857 ;273725 ;267677 ;277226 ;321500 ;388287 ;422322 ;394938 ;397944 ;373651 ;348419 ;324481 ;283281 ;250021 ;211200 ;190381 
2017;5425226 ;208113 ;237791 ;253982 ;272373 ;265317 ;275072 ;308370 ;373997 ;424127 ;398755 ;397786 ;379547 ;350643 ;331056 ;289574 ;247075 ;213680 ;197972 
2018;5423793 ;209073 ;232218 ;250896 ;271012 ;265502 ;274694 ;297937 ;362303 ;421859 ;404096 ;396643 ;384301 ;354850 ;334259 ;297131 ;246673 ;214328 ;206024 
