ano;DespTotal;RegObrigat;RegVolunt;DespFamilia;HospPublicos;;;;
2000;10758798;7581487;489462;2687849;3631339;;;;
2001;11414934;8083309;540275;2791350;3671423;;;;
2002;12206461;8860414;590997;2755050;4017511;;;;
2003;13010302;9237945;749100;3023257;4212845;;;;
2004;14163666;10059058;842365;3262243;4532046;;;;
2005;14966348;10666458;811340;3488550;4951984;;;;
2006;15188768;10500402;870860;3817506;4849170;;;;
2007;15907572;10930403;893621;4083548;5068070;;;;
2008;16729079;11440144;969675;4319260;5287597;;;;
2009;17332440;12118965;948028;4265447;5703252;;;;
2010;17668162;12326832;1002870;4338460;5669187;;;;
2011;16790717;11366401;1008545;4415771;5279888;;;;
2012;15742270;10322103;984648;4435519;4982914;;;;
2013;15476704;10357378;945897;4173429;4950009;;;;
2014;15615760;10319246;970974;4325540;4865313;;;;
2015;16132190;10674042;985044;4473104;4976297;;;;
2016;16853780;11175674;994022;4684084;5232038;;;;
2017;17456492;11576488;1073645;4806359;5446638;;;;
2018;18345065;12192794;1134155;5018116;;;;;
