"","gdh","vano","value","ano"
"1",105,"v2000",17639550.2,2000
"2",105,"v2001",17934010.1,2001
"3",105,"v2002",19308156.3,2002
"4",105,"v2003",20485995.9,2003
"5",105,"v2004",19784900.9,2004
"6",105,"v2005",25477792.3,2005
"7",105,"v2006",26459325.3,2006
"8",105,"v2007",27440858.3,2007
"9",105,"v2008",27749340.1,2008
"10",105,"v2009",28184019,2009
"11",105,"v2010",28885114,2010
"12",105,"v2011",29474033.8,2011
"13",105,"v2012",33736691.4,2012
"14",105,"v2013",33245924.9,2013
"15",105,"v2014",34634093,2014
"16",105,"v2015",36358786.7,2015
"17",105,"v2016",29502077.6,2016
"18",209,"v2000",13670797.08,2000
"19",209,"v2001",17299744.87,2001
"20",209,"v2002",21245565.44,2002
"21",209,"v2003",25523347.97,2003
"22",209,"v2004",29929388.53,2004
"23",209,"v2005",30397153.11,2005
"24",209,"v2006",37096749.03,2006
"25",209,"v2007",36734608.71,2007
"26",209,"v2008",41797028.6,2008
"27",209,"v2009",44528170.18,2009
"28",209,"v2010",41170827.63,2010
"29",209,"v2011",44301832.48,2011
"30",209,"v2012",49666035.97,2012
"31",209,"v2013",49899918.26,2013
"32",209,"v2014",43441749.22,2014
"33",209,"v2015",45690037.04,2015
"34",209,"v2016",48971933.69,2016
"35",211,"v2000",21258831.67,2000
"36",211,"v2001",21806183.66,2001
"37",211,"v2002",20563654.69,2002
"38",211,"v2003",21542495.84,2003
"39",211,"v2004",21390675.58,2004
"40",211,"v2005",22037909.32,2005
"41",211,"v2006",22133795.8,2006
"42",211,"v2007",22713109.95,2007
"43",211,"v2008",23783842.31,2008
"44",211,"v2009",24934480.07,2009
"45",211,"v2010",24894527.37,2010
"46",211,"v2011",27203793.43,2011
"47",211,"v2012",27183817.08,2012
"48",211,"v2013",27383580.58,2013
"49",211,"v2014",27311665.72,2014
"50",211,"v2015",26668427.25,2015
"51",211,"v2016",26009207.7,2016
"52",219,"v2000",20382018.5,2000
"53",219,"v2001",20497130.5,2001
"54",219,"v2002",20561881,2002
"55",219,"v2003",21184205.25,2003
"56",219,"v2004",21090676.75,2004
"57",219,"v2005",20615839.75,2005
"58",219,"v2006",21525944,2006
"59",219,"v2007",21040315.25,2007
"60",219,"v2008",21587097.25,2008
"61",219,"v2009",22252588.5,2009
"62",219,"v2010",23065567,2010
"63",219,"v2011",22687855.75,2011
"64",219,"v2012",22583535.5,2012
"65",219,"v2013",23141109.25,2013
"66",219,"v2014",23195068,2014
"67",219,"v2015",21889266.25,2015
"68",219,"v2016",21374859.5,2016
"69",359,"v2000",21296280.63,2000
"70",359,"v2001",21754906.8,2001
"71",359,"v2002",22455633.03,2002
"72",359,"v2003",23993479.89,2003
"73",359,"v2004",23843446.05,2004
"74",359,"v2005",23062588.11,2005
"75",359,"v2006",22619306.31,2006
"76",359,"v2007",22054974.48,2007
"77",359,"v2008",21625332.12,2008
"78",359,"v2009",21166705.95,2009
"79",359,"v2010",19794237.3,2010
"80",359,"v2011",20621128.35,2011
"81",359,"v2012",20609193.84,2012
"82",359,"v2013",19898238.03,2013
"83",359,"v2014",17969962.2,2014
"84",359,"v2015",17601697.32,2015
"85",359,"v2016",15966669.45,2016
"86",371,"v2000",31440845.5,2000
"87",371,"v2001",31544136.18,2001
"88",371,"v2002",31364075.4,2002
"89",371,"v2003",32092693.44,2003
"90",371,"v2004",31904257.74,2004
"91",371,"v2005",33649032.74,2005
"92",371,"v2006",32875748.46,2006
"93",371,"v2007",32309045.54,2007
"94",371,"v2008",32472356.48,2008
"95",371,"v2009",30001755.08,2009
"96",371,"v2010",28713413.22,2010
"97",371,"v2011",26182791.56,2011
"98",371,"v2012",23460942.56,2012
"99",371,"v2013",19707582.58,2013
"100",371,"v2014",16381343.52,2014
"101",371,"v2015",16257115.54,2015
"102",371,"v2016",16357614.58,2016
"103",480,"v2000",15980997.55,2000
"104",480,"v2001",17424442.49,2001
"105",480,"v2002",18558577.8,2002
"106",480,"v2003",17527545.7,2003
"107",480,"v2004",20414435.58,2004
"108",480,"v2005",17424442.49,2005
"109",480,"v2006",21651674.1,2006
"110",480,"v2007",25775802.5,2007
"111",480,"v2008",27116144.23,2008
"112",480,"v2009",24847873.61,2009
"113",480,"v2010",21445467.68,2010
"114",480,"v2011",20620642,2011
"115",480,"v2012",18249268.17,2012
"116",480,"v2013",23507531.88,2013
"117",480,"v2014",20929951.63,2014
"118",480,"v2015",23610635.09,2015
"119",480,"v2016",24332357.56,2016
"120",483,"v2000",23376334.11,2000
"121",483,"v2001",27298123.32,2001
"122",483,"v2002",30262625.4,2002
"123",483,"v2003",38507646.81,2003
"124",483,"v2004",41533909.35,2004
"125",483,"v2005",34771138.98,2005
"126",483,"v2006",36098988.87,2006
"127",483,"v2007",38476766.58,2007
"128",483,"v2008",39989897.85,2008
"129",483,"v2009",39773736.24,2009
"130",483,"v2010",41163346.59,2010
"131",483,"v2011",40298700.15,2011
"132",483,"v2012",41842711.65,2012
"133",483,"v2013",43170561.54,2013
"134",483,"v2014",43819046.37,2014
"135",483,"v2015",41750070.96,2015
"136",483,"v2016",36716593.47,2016
"137",558,"v2000",16691483.4,2000
"138",558,"v2001",17156309.52,2001
"139",558,"v2002",16043543.96,2002
"140",558,"v2003",18128218.68,2003
"141",558,"v2004",19424097.56,2004
"142",558,"v2005",22058112.24,2005
"143",558,"v2006",21212973.84,2006
"144",558,"v2007",23959673.64,2007
"145",558,"v2008",25903491.96,2008
"146",558,"v2009",25466837.12,2009
"147",558,"v2010",25368237.64,2010
"148",558,"v2011",22072197.88,2011
"149",558,"v2012",25917577.6,2012
"150",558,"v2013",26790887.28,2013
"151",558,"v2014",29537587.08,2014
"152",558,"v2015",33805536,2015
"153",558,"v2016",31608176.16,2016
"154",585,"v2000",23129904.6,2000
"155",585,"v2001",24679276.2,2001
"156",585,"v2002",25023581,2002
"157",585,"v2003",27138596.2,2003
"158",585,"v2004",28392849.4,2004
"159",585,"v2005",32696659.4,2005
"160",585,"v2006",33077854,2006
"161",585,"v2007",34504259.6,2007
"162",585,"v2008",37725968.8,2008
"163",585,"v2009",36717647.6,2009
"164",585,"v2010",36877503.4,2010
"165",585,"v2011",38242426,2011
"166",585,"v2012",40369737.8,2012
"167",585,"v2013",44280056.6,2013
"168",585,"v2014",41955999.2,2014
"169",585,"v2015",45312971,2015
"170",585,"v2016",39275340.4,2016
"171",818,"v2000",49970958.24,2000
"172",818,"v2001",53626072.43,2001
"173",818,"v2002",53542483.54,2002
"174",818,"v2003",54408768.4,2003
"175",818,"v2004",57455963.39,2004
"176",818,"v2005",55723393.67,2005
"177",818,"v2006",58018288.65,2006
"178",818,"v2007",56027353.27,2007
"179",818,"v2008",60077614.94,2008
"180",818,"v2009",58443832.09,2009
"181",818,"v2010",57448364.4,2010
"182",818,"v2011",58990959.37,2011
"183",818,"v2012",62630875.58,2012
"184",818,"v2013",62798053.36,2013
"185",818,"v2014",61673402.84,2014
"186",818,"v2015",62805652.35,2015
"187",818,"v2016",59978828.07,2016
